,dna病毒,h1n1,h3n2,m1病毒,奥司他韦,爆发,产能过剩,朝鲜核问题,传染病,次贷危机,次级贷款,地震,地质灾害,对华战争,发热,反恐,房地产,感冒,感染,股价指数,关税,冠状病毒,国际恐怖主义,黑死病,呼吸器,华为,火山爆发,货币贬值,货币危机,脊髓灰质炎,金融风暴,金融危机,禁韩令,经济危机,军团菌肺炎,流感病毒,流感疫苗,流感症状,流行病毒,麻疹,贸易,贸易赤字,贸易战,孟晚舟,欧债危机,禽流感病毒,圈地运动,全球股灾,全球金融危机,人民币,萨德部署,萨德事件,失业,手足口病,死亡人数,突变,瘟疫,限韩令,腺病毒,药物,乙肝病毒,疫苗接种,游行,债务,债务危机,占领华尔街,中美关系,中欧关系,中日关系,中印关系,猪流感,注射
,DNA_virus,h1n1,h3n2,M1_virus,Oseltamivir,burst,excess_production_capacity,North_Korea_nuclear_issue,Infectious_Diseases,subprime_crisis_,Subprime_loans,earthquake,geologic_hazard_,The_war_against_China,fever,counter-terrorism,real_estate,cold,Infected,Stock_index,tariff,coronavirus,international_terrorism,Black_Death,respirator,Huawei,Volcano_eruption,currency_devaluation,Currency_crisis,poliomyelitis,financial_crisis_,financial_crisis,Ban_on_Korea,economic_crisis,legionaires_disease_,influenza_virus,influenza_vaccine,Flu_symptoms,Epidemic_virus,measles,Trade,trade_deficit,trade_war,Meng_Wanzhou,European_debt_crisis,Avian_influenza_virus,Enclosure_movement,Global_stock_market_crash,Global_financial_crisis,RMB,THAAD_deployment,THAAD_incident,Unemployment,Hand_foot_mouth_disease,death_toll,mutation,plague,South_Korea_restriction_order,adenovirus,medicine,hepatitis_B_virus,Vaccination,parade,debt,debt_crisis_,Occupy_Wall_Street,Sino_US_relations,China_EU_Relations,Sino_Japanese_Relations,Sino_Indian_Relations,swine_flu,injection
14-Oct,5293,12117,1780,0,6442,10345,8920,3986,24816,14950,4891,256254,7370,0,24920,22356,79176,96585,38601,3981,16920,7716,911,68294,8796,2049991,19620,5372,3038,13051,7124,18561,0,12795,4212,6638,6541,6067,5467,66457,19778,4167,0,27428,8422,4268,8716,60,3503,109644,0,0,12041,318735,2600,5995,21620,0,9003,10241,18727,6485,11920,7933,4746,6787,18222,3463,42219,5843,6600,10454
14-Nov,6818,10589,872,0,5876,9397,8929,3052,34013,15998,4668,556242,7079,0,24862,23662,82831,115453,43811,2998,17983,7517,729,54210,8603,2065948,28431,5300,2549,14977,6970,19026,0,13418,3945,6943,8212,5430,7713,48384,18300,3914,0,29241,7747,4479,9559,57,3743,115418,0,0,11014,115958,3884,6075,29775,0,10234,10186,20862,6810,11771,6908,4687,8614,16441,2800,31430,5296,7640,10836
14-Dec,6973,8862,606,0,5916,10217,9704,4059,28511,20571,5242,185707,6959,0,23771,18173,85464,129386,26564,4214,22189,7255,1992,39675,7405,2315794,31511,5834,2545,14473,7632,24034,0,16071,4204,6930,16161,5462,5420,45341,18446,5503,0,30949,9471,4936,9955,0,3971,129987,0,0,10998,182292,2658,5616,20086,0,13725,9803,19032,6826,10552,7382,4240,8751,16299,2878,33576,8592,7066,9269
15-Jan,5132,14274,10853,5654,11714,10466,11149,4562,23026,20730,5776,293134,7283,313,26541,24680,103303,174205,23123,4846,21327,7902,3199,51597,7373,2855026,32094,10262,3974,17538,7618,37029,0,21482,3682,10445,16166,15029,5893,175081,17298,6333,0,35139,12500,5910,11137,224,4370,210686,66,0,19998,75615,6468,6749,15921,122,9071,10767,19520,5764,7731,7353,5012,6098,22696,3417,36500,5996,10030,8433
15-Feb,7329,10048,860,3333,8275,9575,11967,5468,20741,26476,7975,140201,7079,557,20928,24214,90146,117955,23668,3880,28692,10409,3610,44016,17697,2289584,28754,8635,3902,13262,6890,37433,0,31125,4428,7592,30351,9387,3320,42592,18644,5604,0,43958,11202,8084,12844,3675,4752,218975,0,0,18192,126517,3122,6702,15798,0,9927,10407,20491,6420,8445,10710,5261,6380,34228,4288,35303,6658,8555,8372
15-Mar,6106,10301,809,2711,7544,10361,13800,5407,21336,25348,7545,179230,7674,1196,20678,60918,90650,117172,21535,4156,27452,11296,4652,39562,16769,2220243,31782,8180,4109,13785,6732,34780,0,28413,4764,7860,21703,10075,2983,39210,19061,5478,0,42448,11682,7507,11938,2572,4602,347781,0,0,22525,110009,2525,6665,14773,0,9572,11107,18539,5704,8059,11373,5256,6469,37466,4846,33332,6416,8037,8011
15-Apr,5761,20770,1417,3021,9644,11010,19197,6773,24626,28145,7148,158690,8695,1196,23203,43949,107481,151967,23795,4452,30123,12994,6618,43360,15735,2212873,35476,10428,4368,15765,8219,39704,0,32165,4861,8945,15895,18765,3234,39725,18835,6223,0,49742,12933,8054,12213,1804,4854,349956,0,0,20937,105971,3025,7264,15162,0,9739,11387,19657,6350,9008,10097,5728,6653,39777,4983,38934,6941,9624,8464
15-May,4413,11612,16679,3846,10777,7573,7709,2849,15956,12636,4170,177482,4986,0,19938,22683,77926,123760,21728,2704,14135,6454,821,51770,5823,2150457,20827,7790,1410,13893,7009,30029,0,14669,3404,6632,9663,14464,3961,111095,12891,3308,0,17736,7713,4795,7794,0,3504,182990,0,0,15172,56521,2763,5371,14042,61,15045,7789,16118,4405,6528,5853,4093,5276,10800,1788,19300,4415,7944,7553
15-Jun,5039,15882,6946,4341,12170,9619,13713,4246,23827,24781,6446,281970,7713,184,23910,22989,128315,132173,25865,5319,21975,8064,3517,54093,8623,2803909,30868,8084,3963,16591,8203,36303,0,19272,4560,8291,10426,15296,4228,119510,22160,5667,0,26667,12641,5435,12931,0,4584,187311,242,0,19135,87504,2854,6879,14405,0,10541,11418,21411,6421,8385,8082,5045,6485,14550,3229,28611,6101,8431,8376
15-Jul,5228,14015,2899,3858,8937,9857,12334,4902,24570,23155,6319,521872,8214,1069,24320,20231,110073,123359,22845,5292,23396,8461,6250,44464,10046,2589941,40383,7300,3322,16261,9241,36352,0,19809,4338,7904,8640,10490,3418,126174,19501,4979,0,31810,11126,5289,13954,61,4489,171923,0,0,17431,199063,2940,7347,14163,0,9446,10157,26411,6741,9584,7852,4945,6909,23267,3814,33655,7212,7907,8813
